Brand_Name,Shoe Descripition,Discounted Price,Actual_price
NEEMANS,Men Relive Knit Boat Loafer,1799,2999
HRX by Hrithik Roshan,Men Comfort Insole Sneakers,961,3699
GULASS WICK,Men Derby Loafers,659,1999
PSSHOES,Men Suede Loafers Casual Shoes,1188,2499
WROGN,Men Textured Slip-On Sneakers,942,2299
Roadster,Men Casual Lace Up Sneakers,999,4295
JQR,Men RUMBA Sneakers,824,1499
House of Pataudi,Men Lightweight Mojaris,1694,3499
House of Pataudi,Men Handcrafted Loafers,1344,4299
KASTAVA,Men Brogues,749,1599
FUNNY FIRE,Men Loafers,888,1999
Campus,Men Lace-Up Sneaker,1149,1999
Campus,Men Striped Sneakers,1149,2499
Bata,Men Slip-On Sneakers,844,1299
Sparx,Basics Sneakers,674,899
KASTAVA,Men Casual Comfort Sandals,769,3999
HRX by Hrithik Roshan,Men Printed Sneakers,899,3599
blue pop,Backless Lace-Up Sneaker,710,2499
ZAYDN,Men Perforations Sneakers,1405,2999
NEEMANS,Woven Design Slip-On Sneakers,1139,3799
FCUK,Men Sneakers,1159,3999
yoho,Men Textured Round Toe Loafers,1599,2798
FCUK,Men Mid-Top Sneakers,1159,3999
Ducati,Men Mid-Top Textured Sneakers,1159,3999
Roadster,Men PU Sneakers,849,3999
Red Tape,Men Colourblocked PU Sneakers,2069,6899
Roadster,Men Textured Sneakers,834,3795
Killer,Comfortable Casual Sneakers,839,3499
Ducati,Men Everyday Sneakers,1053,3399
WROGN,Men Textured Sneakers,1169,2999
HRX by Hrithik Roshan,Men Casual Shoes,1025,3799
House of Pataudi,Men Handcrafted Slip-Ons,1785,3299
ASIAN,Men Colourblocked Sneakers,734,1499
San Frissco,Men Lightweight Loafers,1549,6495
ASIAN,Men Lightweight Sneakers,734,1499
Campus,Men Colourblocked Sneakers,1661,2199
San Frissco,Textured Lightweight Loafers,1549,6495
Red Tape,Men Colourblocked Sneakers,1919,6399
WROGN,Men Colourblocked Sneakers,1385,3299
yoho,Men Perforations Driving Shoes,1799,2768
Red Tape,Men Textured Sneakers,1979,6599
Metro,Men Leather Loafers,1345,2690
Campus,Men Lace-Up Sneaker,1246,2299
FUNNY FIRE,Men Loafers,888,1999
WROGN,Men Colourblocked Sneakers,1169,2999
LA MARCA,Men Leather Loafers,1574,4499
ASIAN,Men Colourblocked Sneakers,1099,1999
Aeropostale,Men Everyday Sneakers,959,2999
LA MARCA,Men Leather Fashion,1533,4499
HRX by Hrithik Roshan,Men Round Toe Sneakers,728,2699
FUNNY FIRE,Men Black Sneakers,888,1999
HRX by Hrithik Roshan,Men Retro Jogger Sneakers,1119,3499
NEEMANS,Men Textured Loafers,1799,2999
ASIAN,Men Perforations Sneakers,729,1499
Campus,Men Textured Sneakers,1483,3099
WROGN,Men Colourblocked Sneakers,1519,3799
HRX by Hrithik Roshan,Men Brand Logo Print Sneakers,974,3899
ASIAN,Men Printed Sneakers,749,1499
HITWAY,Men Black Casual Shoes,1867,2999
HRX by Hrithik Roshan,Men Everyday Sneakers,899,3599
HRX by Hrithik Roshan,Men Sneakers,1162,4649
Bata,Men Slip-On Sneakers,870,1299
ASIAN,Men Memory Foam Sneakers,729,1499
Styli,Men Canvas Espadrilles,859,999
Roadster,Men Slip-On Sneakers,760,3495
Thivim,Slip-on Loafers,629,3999
NEEMANS,Men Woven Design Sneakers,1429,2399
HRX by Hrithik Roshan,Men Everyday Sneakers,824,3299
WROGN,Men Colourblocked Sneakers,1385,3299
Styli,Men Suede Mule Espadrilles,749,999
U.S. Polo Assn.,Men Lanap Slip-On Sneakers,1759,3199
HRX by Hrithik Roshan,Men Striped Sneakers Shoes,1399,4999
Campus,Men Textured PU Slip-On Sneakers,889,1499
Roadster,Men Lightweight Casual Sneaker,776,3699
Provogue,Men Colourblocked Mules,999,3999
Roadster,Casual Lace-Ups Sneakers,849,4495
ASIAN,Men EVEREST-22 Sneakers,1349,2999
Kappa,Men Sneakers,1499,2999
Styli,Men Textured Slip-On Sneakers,1177,2699
U.S. Polo Assn.,Men Textured Slip-On Sneakers,1759,3199
NEEMANS,Unisex Textured Sneakers,1499,4299
Campus,Men Colourblocked PU Sneakers,999,1599
Provogue,Men Lace Ups Sneakers,999,3999
WROGN,Men Everyday Sneakers,1519,3799
San Frissco,Textured Lightweight Loafers,1549,6495
Flying Machine,Men Round Toe Sneakers,1349,2999
Red Tape,Men PU Sneakers,1949,6499
Cantabil,Men Colourblocked PU Sneakers,1439,3599
WROGN,Men Colourblocked Sneakers,1469,3499
Provogue,Men Textured Slip-On Loafers,1039,3999
HRX by Hrithik Roshan,Men Textured Everyday Sneakers,974,3899
Red Tape,Men Colourblocked Sneakers,2039,6799
Roadster,Men Basics Sneakers,636,4245
NEEMANS,Men Colourblocked Sneakers,1779,3999
FCUK,Men Colourblocked Sneakers,1253,3799
Metro,Men Textured Horsebit Loafers,1479,2690
Campus,Men Lace-Up Sneaker,999,2299
HITWAY,Men Grey Casual Shoes,1969,2999
House of Pataudi,Men Handcrafted Slip-Ons,1795,3999
HRX by Hrithik Roshan,Men Everyday Sneakers,1025,3799
