Brand_Name,Shoe Descripition,Discounted Price,Actual_price
HRX by Hrithik Roshan,Men Striped Sneakers Shoes,1399,4999
Killer,Comfortable Casual Sneakers,839,3499
Roadster,Men Lightweight Casual Shoes,999,3495
WROGN,Men Woven Design Sneakers,1399,3499
HRX by Hrithik Roshan,Men Casual Shoes,1025,3799
Campus,Men White PU Sneakers,1473,2199
Thivim,Slip-on Loafers,629,3999
San Frissco,Men Lightweight Loafers,1549,6495
Roadster,Men Lightweight Loafers,1170,4295
Roadster,Men Lightweight Casual Sneaker,776,3699
San Frissco,Textured Lightweight Loafers,1549,6495
ASIAN,Men EVEREST-22 Sneakers,1349,2999
Kappa,Men Sneakers,1499,2999
yoho,Men Perforations Driving Shoes,1799,2768
Provogue,Men Colourblocked Mules,999,3999
U.S. Polo Assn.,Men Textured Slip-On Sneakers,1759,3199
Styli,Men Canvas Espadrille,809,999
Provogue,Men Lace Ups Sneakers,999,3999
Red Tape,Men PU Sneakers,1949,6499
Campus,Men Sneakers,1149,2499
WROGN,Men Colourblocked Sneakers,1469,3499
Red Tape,Men Colourblocked Sneakers,2039,6799
HRX by Hrithik Roshan,Men Colourblocked Sneakers,1074,4299
Roadster,Men Colourblocked Sneakers,998,3995
Provogue,Men Textured Slip-On Loafers,1039,3999
Campus,Men Lace-Up Sneaker,999,1599
Roadster,Men Basics Sneakers,636,4245
FCUK,Men Colourblocked Sneakers,1253,3799
Campus,Men Colourblocked PU Sneakers,1149,2899
Roadster,Men Colourblocked Sneakers,683,3795
Metro,Men Textured Horsebit Loafers,1479,2690
WALKWAY by Metro,Men Textured Sneakers,842,899
HITWAY,Men Grey Casual Shoes,1969,2999
Campus,Men Printed Sneakers,999,3099
HRX by Hrithik Roshan,Men Retro Jogger Sneakers,1119,3499
Roadster,Men Colourblocked Sneakers,799,3995
WROGN,Men Colourblocked Sneakers,1399,3499
WALKWAY by Metro,Men Woven Design Loafers,936,999
Mochi,Men Leather Loafers,1291,2690
HRX by Hrithik Roshan,Men Lace-Ups Sneakers,999,4999
NEEMANS,Men Colourblocked Sneakers,1429,3999
Sparx,Round Toe Lace-Ups Sneakers,1374,2499
WROGN,Men Perforations PU Sneakers,1619,3599
Killer,Men Lightweight Sneakers,839,3499
Roadster,Men moccasins Leather Loafers,998,4195
HRX by Hrithik Roshan,Men Club Culture Shoes,958,3995
HRX by Hrithik Roshan,Men Mid-top Sneakers,1124,4499
